Institute ID,Name,City,State,Score,Rank,Year
IR-O-U-0149,Sardar Vallabhbhai National Institute of Technology,Surat,Gujarat,41.72,98,2021
IR-O-U-0099,Guru Gobind Singh Indraprastha University,New Delhi,Delhi,41.43,99,2021
IR-O-U-0295,Datta Meghe Institute of Medical Sciences,Wardha,Maharashtra,41.1,100,2021
IR-O-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,87.59,1,2022
IR-O-U-0220,Indian Institute of Science,Bengaluru,Karnataka,83.57,2,2022
IR-O-U-0306,"Indian Institute of Technology, Bombay",Mumbai,Maharashtra,82.35,3,2022
IR-O-I-1074,"Indian Institute of Technology, Delhi",New Delhi,Delhi,82.22,4,2022
IR-O-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,77.83,5,2022
IR-O-U-0573,"Indian Institute of Technology, Kharagpur",Kharagpur,West Bengal,75.94,6,2022
IR-O-U-0560,"Indian Institute of Technology, Roorkee",Roorkee,Uttarakhand,71.48,7,2022
IR-O-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,69.75,8,2022
IR-O-N-15,"All India Institute of Medical Sciences, Delhi",New Delhi,Delhi,69.57,9,2022
IR-O-U-0109,Jawaharlal Nehru University,New Delhi,Delhi,67.25,10,2022
IR-O-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,64.81,11,2022
IR-O-U-0575,Jadavpur University,Kolkata,West Bengal,63.85,12,2022
IR-O-U-0108,"Jamia Millia Islamia, New Delhi",New Delhi,Delhi,63.62,13,2022
IR-O-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,62.86,14,2022
IR-O-U-0570,Calcutta University,Kolkata,West Bengal,61.57,15,2022
IR-O-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,61.54,16,2022
IR-O-U-0234,"Manipal Academy of Higher Education, Manipal",Manipal,Karnataka,61.23,17,2022
IR-O-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,60.14,18,2022
IR-O-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,59.86,19,2022
IR-O-U-0042,University of Hyderabad,Hyderabad,Telangana,59.67,20,2022
IR-O-U-0467,"National Institute of Technology, Tiruchirappalli",Tiruchirappalli,Tamil Nadu,58.95,21,2022
IR-O-U-0439,Anna University,Chennai,Tamil Nadu,58.08,22,2022
IR-O-U-0120,University of Delhi,Delhi,Delhi,57.63,23,2022
IR-O-U-0447,Bharathiar University,Coimbatore,Tamil Nadu,57.26,24,2022
IR-O-U-0323,Savitribai Phule Pune University,Pune,Maharashtra,56.99,25,2022
IR-O-U-0305,"Indian Institute of Science Education & Research, Pune",Pune,Maharashtra,56.91,26,2022
IR-O-U-0237,"National Institute of Technology Karnataka, Surathkal ",Surathkal,Karnataka,56.74,27,2022
IR-O-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,56.16,28,2022
IR-O-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,55.85,29,2022
IR-O-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,55.42,30,2022
IR-O-U-0273,Indian Institute of Technology Indore,Indore,Madhya Pradesh,55.13,31,2022
IR-O-U-0391,Birla Institute of Technology & Science - Pilani,Pilani,Rajasthan,55.1,32,2022
IR-O-U-0304,Homi Bhabha National Institute,Mumbai,Maharashtra,54.85,33,2022
IR-O-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,54.35,34,2022
IR-O-U-0378,Indian Institute of Technology Ropar,Rupnagar,Punjab,54.29,35,2022
IR-O-U-0473,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,53.99,36,2022
IR-O-U-0139,"Indian Institute of Technology, Gandhinagar",Gandhinagar,Gujarat,53.92,37,2022
IR-O-U-0205,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,53.87,38,2022
IR-O-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,53.77,39,2022
IR-O-U-0572,"Indian Institute of Science Education & Research, Kolkata",Mohanpur,West Bengal,52.35,40,2022
IR-O-U-0078,Panjab University,Chandigarh,Chandigarh,51.23,41,2022
IR-O-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,51.07,42,2022
IR-O-U-0184,"Indian Institute of Technology, Mandi",Mandi,Himachal Pradesh,51.05,43,2022
IR-O-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,50.81,44,2022
IR-O-U-0025,National Institute of Technology Warangal,Warangal,Telangana,50.61,45,2022
IR-O-U-0027,Osmania University,Hyderabad,Telangana,50.6,46,2022
IR-O-U-0377,"Indian Institute of Science Education & Research, Mohali",Mohali,Punjab,50.55,47,2022
IR-O-U-0747,Chandigarh University,Mohali,Punjab,50.39,48,2022
IR-O-U-0476,Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,50.33,49,2022
IR-O-U-0458,Kalasalingam Academy of Research and Education,Srivilliputtur,Tamil Nadu,49.97,50,2022
IR-O-U-0262,"Mahatma Gandhi University, Kottayam",Kottayam,Kerala,49.89,51,2022
IR-O-U-0260,Kerala University,Thiruvananthapuram,Kerala,49.87,52,2022
IR-O-U-0435,Alagappa University,Karaikudi,Tamil Nadu,49.73,53,2022
IR-O-U-0368,Jawaharlal Institute of Post Graduate Medical Education & Research,Puducherry,Pondicherry,49.71,54,2022
IR-O-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,49.71,54,2022
IR-O-U-0235,Mysore University,Mysuru,Karnataka,49.71,54,2022
IR-O-I-1480,Thapar Institute of Engineering and Technology,Patiala,Punjab,49.65,57,2022
IR-O-U-0379,Lovely Professional University,Phagwara,Punjab,49.54,58,2022
IR-O-U-0064,"Indian Institute of Technology, Patna",Patna,Bihar,49.47,59,2022
IR-O-U-0222,JSS Academy of Higher Education and Research,Mysuru,Karnataka,49.31,60,2022
IR-O-U-0272,Indian Institute of Science Education & Research Bhopal,Bhopal,Madhya Pradesh,49.29,61,2022
IR-O-U-0329,Symbiosis International,Pune,Maharashtra,49.22,62,2022
IR-O-U-0098,Delhi Technological University,New Delhi,Delhi,49.03,63,2022
IR-O-U-0052,Gauhati University,Guwahati,Assam,48.98,64,2022
IR-O-U-0355,Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,48.46,65,2022
IR-O-U-0584,"Indian Institute of Engineering Science and Technology, Shibpur",Howrah,West Bengal,48.45,66,2022
IR-O-U-0474,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,48.09,67,2022
IR-O-U-0334,"Visvesvaraya National Institute of Technology, Nagpur",Nagpur,Maharashtra,48.05,68,2022
IR-O-U-0253,Cochin University of Science and Technology,Cochin,Kerala,48.02,69,2022
IR-O-I-1357,University of Madras,Chennai,Tamil Nadu,48.01,70,2022
IR-O-U-0006,"Andhra University, Visakhapatnam",Visakhapatnam,Andhra Pradesh,47.97,71,2022
IR-O-U-0577,National Institute of Technology Durgapur,Durgapur,West Bengal,47.9,72,2022
IR-O-U-0136,Gujarat University,Ahmedabad,Gujarat,47.72,73,2022
IR-O-U-0107,Jamia Hamdard,New Delhi,Delhi,47.5,74,2022
IR-O-U-0523,King George`s Medical University,Lucknow,Uttar Pradesh,47.0,75,2022
IR-O-I-1110,Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,46.76,76,2022
IR-O-U-0055,"National Institute of Technology, Silchar",Silchar,Assam,46.76,76,2022
IR-O-U-0498,Babasheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,46.39,78,2022
IR-O-S-8909,Indian Institute of Management Kozhikode,Kozhikode,Kerala,46.36,79,2022
IR-O-U-0376,Guru Nanak Dev University,Amritsar,Punjab,46.31,80,2022
IR-O-U-0318,Mumbai University,Mumbai,Maharashtra,46.15,81,2022
IR-O-U-0448,Bharathidasan University,Tiruchirappalli,Tamil Nadu,46.14,82,2022
IR-O-I-1486,Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,46.08,83,2022
IR-O-U-0196,University of Kashmir,Srinagar,Jammu and Kashmir,45.98,84,2022
IR-O-U-0374,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Jalandhar,Punjab,45.85,85,2022
IR-O-U-0689,All India Institute of Medical Sciences Jodhpur,Jodhpur,Rajasthan,45.81,86,2022
IR-O-U-0389,Banasthali Vidyapith,Banasthali,Rajasthan,45.8,87,2022
IR-O-U-0463,Madurai Kamaraj University,Madurai,Tamil Nadu,45.77,88,2022
IR-O-N-10,SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,45.68,89,2022
IR-O-U-0056,Tezpur University,Tezpur,Assam,45.59,90,2022
IR-O-U-0410,Malaviya National Institute of Technology,Jaipur,Rajasthan,45.27,91,2022
IR-O-U-0295,Datta Meghe Institute of Medical Sciences,Wardha,Maharashtra,45.21,92,2022
IR-O-U-0195,University of Jammu,Jammu,Jammu and Kashmir,45.11,93,2022
IR-O-U-0642,Shiv Nadar University,Dadri,Uttar Pradesh,44.94,94,2022
IR-O-U-0446,Bharath Institute of Higher Education & Research,Chennai,Tamil Nadu,44.73,95,2022
IR-O-C-16604,Sri Sivasubramaniya Nadar College of Engineering,Kancheepuram,Tamil Nadu,44.69,96,2022
IR-O-U-0564,University of Petroleum and Energy Studies,Dehradun,Uttarakhand,44.65,97,2022
